Age,Department,JobRole,OverTime,MonthlyIncome,YearsAtCompany,MaritalStatus,JobSatisfaction,Attrition,AttritionRiskScore,RiskBand,EmployeeID,IncomeBand,DeptShort,TenureBucket
36,Sales,Manager,No,3051,2,Married,2,0,0.173,Low,EMP1000,3-6K,Sales,2-3y
49,Research & Development,Research Director,No,8442,10,Divorced,1,0,0.048,Low,EMP1001,6-10K,R&D,6-10y
53,Sales,Manager,No,3174,2,Single,1,0,0.183,Low,EMP1002,3-6K,Sales,2-3y
41,Sales,Sales Executive,Yes,4817,9,Divorced,1,1,0.285,Low,EMP1003,3-6K,Sales,6-10y
33,Research & Development,Research Director,Yes,4617,3,Married,1,0,0.456,Medium,EMP1004,3-6K,R&D,2-3y
59,Human Resources,Human Resources,No,6614,0,Divorced,2,0,0.027,Low,EMP1005,6-10K,HR,0-1y
33,Sales,Sales Representative,No,1693,10,Single,1,0,0.463,Medium,EMP1006,<3K,Sales,6-10y
31,Sales,Sales Representative,No,8866,3,Single,1,1,0.492,Medium,EMP1007,6-10K,Sales,2-3y
21,Research & Development,Manufacturing Director,No,3743,0,Married,2,0,0.212,Low,EMP1008,3-6K,R&D,0-1y
49,Research & Development,Manufacturing Director,No,10625,10,Single,3,0,0.058,Low,EMP1009,10K+,R&D,6-10y
45,Research & Development,Laboratory Technician,Yes,4175,7,Divorced,3,0,0.323,Medium,EMP1010,3-6K,R&D,6-10y
58,Sales,Sales Representative,Yes,5287,1,Married,1,1,0.45,Medium,EMP1011,3-6K,Sales,0-1y
24,Research & Development,Research Director,No,15561,2,Single,4,0,0.071,Low,EMP1012,10K+,R&D,2-3y
50,Sales,Sales Representative,No,4663,12,Single,3,0,0.134,Low,EMP1013,3-6K,Sales,10y+
37,Research & Development,Research Scientist,No,10736,2,Divorced,2,0,0.092,Low,EMP1014,10K+,R&D,2-3y
44,Research & Development,Research Director,No,5549,4,Married,2,0,0.043,Low,EMP1015,3-6K,R&D,4-5y
22,Research & Development,Laboratory Technician,No,6825,7,Divorced,4,0,0.177,Low,EMP1016,6-10K,R&D,6-10y
50,Research & Development,Manufacturing Director,No,5644,2,Single,2,0,0.198,Low,EMP1017,3-6K,R&D,2-3y
44,Sales,Sales Representative,Yes,8658,9,Divorced,1,0,0.452,Medium,EMP1018,6-10K,Sales,6-10y
36,Research & Development,Manufacturing Director,No,3725,6,Married,2,0,0.117,Low,EMP1019,3-6K,R&D,6-10y
42,Sales,Manager,Yes,3161,4,Married,1,0,0.305,Medium,EMP1020,3-6K,Sales,4-5y
30,Research & Development,Manufacturing Director,No,3822,3,Married,1,0,0.223,Low,EMP1021,3-6K,R&D,2-3y
31,Human Resources,Manager,Yes,5737,9,Single,2,1,0.466,Medium,EMP1022,3-6K,HR,6-10y
32,Sales,Sales Executive,Yes,4810,6,Divorced,1,0,0.425,Medium,EMP1023,3-6K,Sales,6-10y
20,Sales,Manager,No,8027,3,Divorced,2,1,0.259,Low,EMP1024,6-10K,Sales,2-3y
44,Research & Development,Manufacturing Director,No,11132,2,Married,1,1,0.066,Low,EMP1025,10K+,R&D,2-3y
47,Research & Development,Research Scientist,No,3175,2,Divorced,3,0,0.01,Low,EMP1026,3-6K,R&D,2-3y
30,Research & Development,Research Scientist,Yes,3627,4,Single,1,1,0.632,High,EMP1027,3-6K,R&D,4-5y
40,Research & Development,Healthcare Representative,No,2465,0,Single,1,0,0.313,Medium,EMP1028,<3K,R&D,0-1y
34,Sales,Sales Representative,No,16592,0,Single,4,0,0.239,Low,EMP1029,10K+,Sales,0-1y
39,Sales,Sales Representative,No,6422,13,Married,1,0,0.108,Low,EMP1030,6-10K,Sales,10y+
31,Human Resources,Human Resources,Yes,7071,7,Single,2,0,0.421,Medium,EMP1031,6-10K,HR,6-10y
29,Research & Development,Manufacturing Director,No,2599,7,Married,3,0,0.114,Low,EMP1032,<3K,R&D,6-10y
46,Research & Development,Research Director,No,5428,3,Single,2,0,0.111,Low,EMP1033,3-6K,R&D,2-3y
36,Research & Development,Laboratory Technician,No,7187,1,Married,2,0,0.23,Low,EMP1034,6-10K,R&D,0-1y
55,Research & Development,Manufacturing Director,No,4726,4,Divorced,1,0,0.073,Low,EMP1035,3-6K,R&D,4-5y
37,Research & Development,Manufacturing Director,Yes,9814,0,Married,2,0,0.322,Medium,EMP1036,6-10K,R&D,0-1y
28,Research & Development,Research Director,No,19370,3,Single,4,0,0.073,Low,EMP1037,10K+,R&D,2-3y
48,Research & Development,Research Scientist,Yes,3226,0,Married,3,0,0.318,Medium,EMP1038,3-6K,R&D,0-1y
42,Sales,Sales Representative,No,3095,2,Single,4,1,0.32,Medium,EMP1039,3-6K,Sales,2-3y
43,Research & Development,Healthcare Representative,Yes,3351,21,Married,3,0,0.121,Low,EMP1040,3-6K,R&D,10y+
47,Sales,Sales Executive,Yes,13139,1,Married,4,0,0.173,Low,EMP1041,10K+,Sales,0-1y
31,Sales,Manager,No,9636,5,Married,2,0,0.109,Low,EMP1042,6-10K,Sales,4-5y
35,Research & Development,Research Director,No,5041,2,Single,3,0,0.162,Low,EMP1043,3-6K,R&D,2-3y
35,Sales,Manager,No,5541,0,Divorced,3,0,0.11,Low,EMP1044,3-6K,Sales,0-1y
25,Sales,Sales Representative,No,3466,0,Divorced,4,0,0.329,Medium,EMP1045,3-6K,Sales,0-1y
34,Research & Development,Healthcare Representative,No,8861,0,Married,3,0,0.205,Low,EMP1046,6-10K,R&D,0-1y
49,Research & Development,Healthcare Representative,No,4407,1,Divorced,2,0,0.055,Low,EMP1047,3-6K,R&D,0-1y
39,Sales,Manager,No,4707,2,Divorced,1,0,0.137,Low,EMP1048,3-6K,Sales,2-3y
24,Research & Development,Manufacturing Director,No,7591,1,Single,4,0,0.228,Low,EMP1049,6-10K,R&D,0-1y
22,Research & Development,Manufacturing Director,No,4898,3,Married,2,0,0.187,Low,EMP1050,3-6K,R&D,2-3y
51,Research & Development,Healthcare Representative,No,4773,7,Married,4,0,0.101,Low,EMP1051,3-6K,R&D,6-10y
36,Sales,Sales Executive,No,5463,0,Married,3,1,0.123,Low,EMP1052,3-6K,Sales,0-1y
31,Sales,Manager,Yes,8412,0,Single,1,0,0.652,High,EMP1053,6-10K,Sales,0-1y
34,Sales,Manager,No,13434,14,Divorced,3,0,0.082,Low,EMP1054,10K+,Sales,10y+
23,Sales,Sales Representative,No,7495,6,Married,2,1,0.364,Medium,EMP1055,6-10K,Sales,6-10y
49,Research & Development,Research Scientist,No,8449,0,Single,1,0,0.231,Low,EMP1056,6-10K,R&D,0-1y
33,Research & Development,Research Scientist,No,4866,0,Married,2,0,0.169,Low,EMP1057,3-6K,R&D,0-1y
49,Research & Development,Manufacturing Director,Yes,3680,9,Married,3,1,0.179,Low,EMP1058,3-6K,R&D,6-10y
37,Research & Development,Healthcare Representative,No,7782,11,Married,1,0,0.088,Low,EMP1059,6-10K,R&D,10y+
49,Sales,Manager,Yes,5968,3,Divorced,3,0,0.232,Low,EMP1060,3-6K,Sales,2-3y
39,Research & Development,Healthcare Representative,No,2483,3,Married,4,0,0.072,Low,EMP1061,<3K,R&D,2-3y
44,Research & Development,Research Director,No,4534,0,Married,1,0,0.188,Low,EMP1062,3-6K,R&D,0-1y
43,Sales,Manager,No,5189,3,Married,1,0,0.136,Low,EMP1063,3-6K,Sales,2-3y
42,Research & Development,Healthcare Representative,No,4102,4,Married,1,1,0.129,Low,EMP1064,3-6K,R&D,4-5y
40,Research & Development,Research Scientist,No,12270,13,Married,3,0,0.01,Low,EMP1065,10K+,R&D,10y+
34,Research & Development,Manufacturing Director,No,7072,0,Single,4,0,0.187,Low,EMP1066,6-10K,R&D,0-1y
54,Research & Development,Manufacturing Director,No,11559,2,Single,4,0,0.01,Low,EMP1067,10K+,R&D,2-3y
28,Research & Development,Healthcare Representative,No,6278,3,Married,1,0,0.159,Low,EMP1068,6-10K,R&D,2-3y
37,Research & Development,Research Director,No,5680,0,Divorced,2,0,0.128,Low,EMP1069,3-6K,R&D,0-1y
37,Research & Development,Research Scientist,Yes,3245,7,Married,1,0,0.379,Medium,EMP1070,3-6K,R&D,6-10y
40,Research & Development,Manufacturing Director,No,5467,1,Single,2,0,0.287,Low,EMP1071,3-6K,R&D,0-1y
33,Sales,Sales Executive,Yes,5470,1,Married,2,0,0.457,Medium,EMP1072,3-6K,Sales,0-1y
39,Research & Development,Healthcare Representative,No,2560,7,Divorced,3,0,0.156,Low,EMP1073,<3K,R&D,6-10y
35,Research & Development,Manufacturing Director,No,4037,0,Married,4,0,0.155,Low,EMP1074,3-6K,R&D,0-1y
22,Research & Development,Manufacturing Director,No,4546,3,Single,4,0,0.289,Low,EMP1075,3-6K,R&D,2-3y
37,Research & Development,Manufacturing Director,Yes,6818,1,Married,1,0,0.497,Medium,EMP1076,6-10K,R&D,0-1y
27,Sales,Sales Executive,No,7000,2,Married,1,0,0.163,Low,EMP1077,6-10K,Sales,2-3y
21,Research & Development,Manufacturing Director,No,3945,3,Married,2,1,0.183,Low,EMP1078,3-6K,R&D,2-3y
38,Sales,Manager,Yes,7029,6,Single,2,1,0.455,Medium,EMP1079,6-10K,Sales,6-10y
41,Sales,Sales Representative,Yes,4914,4,Single,2,0,0.756,High,EMP1080,3-6K,Sales,4-5y
41,Research & Development,Laboratory Technician,No,1120,5,Married,3,0,0.178,Low,EMP1081,<3K,R&D,4-5y
42,Sales,Sales Representative,No,4160,4,Married,3,0,0.189,Low,EMP1082,3-6K,Sales,4-5y
19,Research & Development,Laboratory Technician,Yes,9832,3,Married,4,0,0.491,Medium,EMP1083,6-10K,R&D,2-3y
24,Research & Development,Research Scientist,No,2153,9,Single,3,1,0.28,Low,EMP1084,<3K,R&D,6-10y
54,Research & Development,Healthcare Representative,No,5778,0,Married,2,1,0.05,Low,EMP1085,3-6K,R&D,0-1y
27,Sales,Sales Executive,No,12989,5,Married,1,0,0.15,Low,EMP1086,10K+,Sales,4-5y
42,Research & Development,Healthcare Representative,No,3574,3,Single,2,0,0.217,Low,EMP1087,3-6K,R&D,2-3y
30,Research & Development,Research Scientist,No,5438,1,Married,4,0,0.068,Low,EMP1088,3-6K,R&D,0-1y
37,Research & Development,Research Director,No,2651,13,Married,4,0,0.033,Low,EMP1089,<3K,R&D,10y+
31,Research & Development,Healthcare Representative,Yes,13292,9,Married,2,0,0.191,Low,EMP1090,10K+,R&D,6-10y
42,Sales,Sales Executive,No,5188,9,Divorced,1,0,0.117,Low,EMP1091,3-6K,Sales,6-10y
38,Research & Development,Manufacturing Director,Yes,5572,2,Divorced,1,1,0.399,Medium,EMP1092,3-6K,R&D,2-3y
32,Research & Development,Laboratory Technician,Yes,11439,4,Single,1,1,0.675,High,EMP1093,10K+,R&D,4-5y
27,Research & Development,Laboratory Technician,No,7815,6,Single,3,0,0.215,Low,EMP1094,6-10K,R&D,6-10y
39,Research & Development,Research Director,No,3355,3,Single,3,0,0.28,Low,EMP1095,3-6K,R&D,2-3y
26,Research & Development,Research Director,No,3804,5,Single,3,0,0.237,Low,EMP1096,3-6K,R&D,4-5y
40,Research & Development,Laboratory Technician,No,7131,4,Married,1,0,0.204,Low,EMP1097,6-10K,R&D,4-5y
60,Research & Development,Research Scientist,No,3853,2,Divorced,2,0,0.058,Low,EMP1098,3-6K,R&D,2-3y
49,Human Resources,Human Resources,No,1695,2,Divorced,1,1,0.108,Low,EMP1099,<3K,HR,2-3y
